name,team,position,bye,points,vor,overallRank,positionRank,adp
David Johnson,ARI,rb,8,279.0210206,166.4068916,1,1,1.5433
LeVeon Bell,PIT,rb,9,262.5846557,149.9705268,2,2,2.3
Antonio Brown,PIT,wr,9,202.457472,85.85572091,6,1,4.5133
Julio Jones,ATL,wr,5,199.3981514,82.79640036,7,2,5.0433
Odell Beckham,NYG,wr,8,183.7813623,67.17961126,13,3,6.5367
LeSean McCoy,BUF,rb,6,215.0339364,102.4198074,3,3,6.9967
A.J. Green,CIN,wr,6,170.7316363,54.12988521,23,7,8.0625
Mike Evans,TB,wr,11,182.1803685,65.57861745,15,5,8.81
Devonta Freeman,ATL,rb,5,205.678867,93.06473797,4,4,9.6633
DeMarco Murray,TEN,rb,8,184.5189218,71.90479285,11,8,10.02
Jay Ajayi,MIA,rb,11,192.1462979,79.53216892,10,7,10.37
Melvin Gordon,LAC,rb,8,193.1648234,80.55069438,8,6,10.65
Jordy Nelson,GB,wr,8,183.5725475,66.97079641,14,4,12.3
Ezekiel Elliott,DAL,rb,6,174.8589571,62.24482812,16,10,12.3425
Jordan Howard,CHI,rb,9,204.9187043,92.30457535,5,5,12.45
Todd Gurley,LAR,rb,9,182.6542286,70.04009961,12,9,14.6525
Brandin Cooks,NE,wr,9,154.0320421,37.43029106,30,11,16.65
Michael Thomas,NO,wr,5,173.7832536,57.18150255,20,6,16.8167
Leonard Fournette,JAC,rb,8,170.5892548,57.97512579,19,12,17.67
T.Y. Hilton,IND,wr,11,156.5547911,39.95303998,29,10,18.41
Marshawn Lynch,OAK,rb,10,168.280219,55.66609002,21,13,18.6925
Rob Gronkowski,NE,te,9,156.7274326,54.88574859,22,1,19.7567
Dez Bryant,DAL,wr,6,157.498783,40.89703197,27,8,20.17
Aaron Rodgers,GB,qb,8,324.4153401,79.94193073,9,1,20.4333
Lamar Miller,HOU,rb,7,173.2546381,60.64050907,18,11,22.15
Christian McCaffrey,CAR,rb,11,137.8682042,25.25407522,44,23,23.33
DeAndre Hopkins,HOU,wr,7,142.9093272,26.30757611,43,13,24.08
Isaiah Crowell,CLE,rb,9,159.7639836,47.14985458,24,14,24.09
Amari Cooper,OAK,wr,10,148.6265825,32.02483145,37,12,24.3267
Tom Brady,NE,qb,9,305.5530948,61.07968547,17,2,24.4733
Doug Baldwin,SEA,wr,6,157.3563512,40.75460011,28,9,24.5033
Demaryius Thomas,DEN,wr,5,135.5251464,18.92339533,61,21,26.5775
Terrelle Pryor,WAS,wr,5,136.9183244,20.31657336,55,18,27.16
Alshon Jeffery,PHI,wr,10,138.7854052,22.18365413,51,17,28.685
Travis Kelce,KC,te,10,130.7827378,28.94105383,40,2,30.6075
Carlos Hyde,SF,rb,11,153.9235285,41.30939954,26,16,31.125
Dalvin Cook,MIN,rb,9,147.6910387,35.07690972,34,18,32.6175
Joe Mixon,CIN,rb,6,134.7229894,22.10886039,52,24,33.0075
Michael Crabtree,OAK,wr,10,140.4227577,23.82100663,46,14,34.015
Greg Olsen,CAR,te,11,130.7455045,28.9038205,41,3,35.15
Jordan Reed,WAS,te,5,126.8547918,25.01310786,45,4,35.6025
Ty Montgomery,GB,rb,8,148.7129934,36.09886443,32,17,36.9675
Tyreek Hill,KC,wr,10,135.8779141,19.27616307,59,20,37.4625
Drew Brees,NO,qb,5,281.5579976,37.0845882,31,3,38.93
Davante Adams,GB,wr,8,139.4971392,22.89538812,49,16,39.915
Allen Robinson,JAC,wr,8,139.6756961,23.07394499,48,15,40.8975
Jarvis Landry,MIA,wr,11,124.5142695,7.91251842,81,31,41.7325
Jimmy Graham,SEA,te,6,125.1262947,23.2846107,47,5,41.87
C.J. Anderson,DEN,rb,5,147.0150964,34.4009674,35,19,42.1475
Golden Tate,DET,wr,7,132.7153841,16.113633,65,22,42.6775
Russell Wilson,SEA,qb,6,275.9612597,31.4878503,38,5,44.665
Bilal Powell,NYJ,rb,11,139.7488334,27.13470441,42,22,45.3775
Kelvin Benjamin,CAR,wr,11,136.5712088,19.96945773,56,19,46.6375
Matt Ryan,ATL,qb,5,280.2125959,35.7391865,33,4,47.1033
Keenan Allen,LAC,wr,8,130.2004673,13.5987162,66,23,48.0533
Steven Hauschka,BUF,k,6,118.5333649,-17.28511924,157,23,48.285
Kareem Hunt,KC,rb,10,146.1047824,33.49065347,36,20,48.7475
Emmanuel Sanders,DEN,wr,5,129.6133417,13.01159061,67,24,50.0325
Cam Newton,CAR,qb,11,255.2043464,10.73093702,73,7,52.4075
Adrian Peterson,NO,rb,5,112.8725164,0.258387436,103,35,52.615
Mike Gillislee,NE,rb,9,131.6719038,19.05777479,60,29,54.2775
Frank Gore,IND,rb,11,142.0781727,29.46404377,39,21,55
Stefon Diggs,MIN,wr,9,126.3345222,9.732771148,75,28,55.585
Larry Fitzgerald,ARI,wr,8,129.4599789,12.85822782,70,26,57.0967
Tyler Eifert,CIN,te,6,106.6850972,4.84341326,87,8,57.38
Jamison Crowder,WAS,wr,5,120.8591557,4.257404604,89,32,58.4925
Brandon Marshall,NYG,wr,8,117.9355318,1.333780752,96,35,59.3825
Kyle Rudolph,MIN,te,9,114.4870008,12.64531683,71,6,59.395
Mark Ingram,NO,rb,5,154.4052399,41.79111088,25,15,60.19
Marcus Mariota,TEN,qb,8,251.6288386,7.155429241,84,9,60.2575
Andrew Luck,IND,qb,11,242.8357683,-1.637641095,111,14,60.865
Derek Carr,OAK,qb,10,245.1136508,0.640241436,101,13,61.0775
Dak Prescott,DAL,qb,6,257.3390423,12.86563292,69,6,61.525
Sammy Watkins,LAR,wr,9,129.496052,12.89430097,68,25,61.7267
LeGarrette Blount,PHI,rb,10,113.1955204,0.581391439,102,34,62.36
Doug Martin,TB,rb,11,111.7743501,-0.839778875,107,36,63.0075
Eddie Lacy,SEA,rb,6,122.2422901,9.628161075,76,32,63.87
Danny Woodhead,BAL,rb,10,117.1889148,4.574785864,88,33,64.16
DeSean Jackson,TB,wr,11,116.7934739,0.191722802,104,36,65.1275
Martavis Bryant,PIT,wr,9,124.6817061,8.079955023,80,30,65.7
Tevin Coleman,ATL,rb,5,132.1882337,19.57410475,58,28,65.7125
Paul Perkins,NYG,rb,8,133.1739216,20.55979265,53,25,66.08
Martellus Bennett,GB,te,8,105.4220867,3.580402695,91,9,66.3875
Rob Kelley,WAS,rb,5,132.2591386,19.64500958,57,27,67.96
Pierre Garcon,SF,wr,11,126.778149,10.17639793,74,27,68.3675
Jameis Winston,TB,qb,11,252.9317507,8.458341363,78,8,68.8125
Delanie Walker,TEN,te,8,103.8738476,2.032163627,94,10,70.68
DeVante Parker,MIA,wr,11,120.2215817,3.6198306,90,33,71.4
Eric Decker,TEN,wr,8,118.3487991,1.747048078,95,34,72.8925
Zach Ertz,PHI,te,10,109.1540011,7.312317163,82,7,73.34
Ameer Abdullah,DET,rb,7,133.0530636,20.43893461,54,26,73.4967
Seahawks,SEA,dst,6,169.9946497,-2.600629053,114,5,76.49
Broncos,DEN,dst,5,181.9212196,9.325940874,77,1,76.99
Theo Riddick,DET,rb,7,105.5378512,-7.076277754,129,39,77.2175
Ben Roethlisberger,PIT,qb,9,239.8204956,-4.652913759,122,16,77.665
Donte Moncrief,IND,wr,11,115.0762475,-1.525503555,108,37,77.8875
Stephen Gostkowski,NE,k,9,153.4495238,17.63103961,64,3,78.2325
Justin Tucker,BAL,k,10,158.0064495,22.18796539,50,1,78.655
Terrance West,BAL,rb,10,130.936303,18.32217406,62,30,80.4225
Jonathan Stewart,CAR,rb,11,124.6985209,12.08439187,72,31,81.3975
Phil Dawson,ARI,k,8,123.0955642,-12.72291991,142,19,82
Nick Folk,TB,k,11,116.3438437,-19.47464047,165,24,82.5
Kai Forbath,MIN,k,9,122.92553,-12.89295413,143,20,82.5
Matt Forte,NYJ,rb,11,109.6426982,-2.971430744,115,38,83.2275
Kirk Cousins,WAS,qb,5,250.2512032,5.777793825,85,10,83.3167
Matt Bryant,ATL,k,5,153.6658282,17.84734405,63,2,87.365
Chiefs,KC,dst,10,173.7165943,1.121315597,98,3,88.435
Hunter Henry,LAC,te,8,96.22911764,-5.612566322,125,11,88.4725
Jack Doyle,IND,te,11,87.78143941,-14.06024455,148,13,88.9
Chris Hogan,NE,wr,9,112.7767191,-3.825031979,118,38,89.635
Kenny Britt,CLE,wr,9,112.2239786,-4.377772423,121,40,90.1925
Philip Rivers,LAC,qb,8,230.6605364,-13.81287292,147,17,90.96
Jared Cook,OAK,te,10,85.65845302,-16.18323094,155,15,91.4
Mike Wallace,BAL,wr,10,112.2276429,-4.374108155,120,39,94.4325
Austin Hooper,ATL,te,5,85.21108029,-16.63060367,156,16,95.3
Texans,HOU,dst,7,110.3602155,-62.23506325,279,11,95.305
Vikings,MIN,dst,9,110.5990882,-61.99619047,276,10,97.8
James White,NE,rb,9,102.1227094,-10.49141957,136,40,98.95
Carson Wentz,PHI,qb,10,219.9055894,-24.56781995,179,19,100.11
Andy Dalton,CIN,qb,6,240.9431799,-3.530229469,117,15,100.1875
Caleb Sturgis,PHI,k,10,134.2464188,-1.572065359,109,10,100.33
Patriots,NE,dst,9,173.7648507,1.169571967,97,2,103.19
Derrick Henry,TEN,rb,8,110.5197683,-2.094360633,112,37,103.38
Cairo Santos,KC,k,10,129.0169078,-6.801576351,128,15,103.73
Jesse James,PIT,te,9,49.33141472,-52.51026924,249,33,104.06
Tyrod Taylor,BUF,qb,6,245.470809,0.997399658,99,12,104.47
Cardinals,ARI,dst,8,122.5172902,-50.07798853,245,8,104.725
Randall Cobb,GB,wr,8,124.9550781,8.353326999,79,29,104.7733
Charles Clay,BUF,te,6,78.35747552,-23.48420844,177,21,104.79
C.J. Fiedorowicz,HOU,te,7,78.89812288,-22.94356108,174,20,104.84
Blake Bortles,JAC,qb,8,159.5963133,-84.87709604,378,27,104.9933
O.J. Howard,TB,te,11,69.49370409,-32.34797987,197,24,105.225
Joe Flacco,BAL,qb,10,205.0231963,-39.45021309,214,22,105.7533
Mason Crosby,GB,k,8,138.7547247,2.936240564,92,5,105.9525
Matthew Stafford,DET,qb,7,249.5081851,5.034775786,86,11,107.19
Adam Vinatieri,IND,k,11,138.2396213,2.42113719,93,6,107.665
Cameron Brate,TB,te,11,83.80576923,-18.03591473,159,17,108.595
Antonio Gates,LAC,te,8,81.81891503,-20.02276893,167,19,109.0325
Julius Thomas,MIA,te,11,77.95046121,-23.89122275,178,22,109.5925
Evan Engram,NYG,te,8,74.99591337,-26.84577059,185,23,111.68
Sebastian Janikowski,OAK,k,10,135.4122042,-0.406279981,105,8,112.375
Coby Fleener,NO,te,5,87.34350422,-14.49817974,149,14,112.4925
Chris Boswell,PIT,k,9,131.9452529,-3.873231258,119,13,113.115
Matt Prater,DET,k,7,136.7677603,0.949276197,100,7,114.1225
Graham Gano,CAR,k,11,127.7181726,-8.100311574,130,16,115.145
Dustin Hopkins,WAS,k,5,132.3344613,-3.484022848,116,12,117.9475
Deshaun Watson,HOU,qb,7,104.3630353,-140.110374,817,32,118.175
Alex Smith,KC,qb,10,219.0727526,-25.40065673,181,20,118.6025
Brandon McManus,DEN,k,5,130.2363787,-5.582105473,124,14,119.125
Sam Bradford,MIN,qb,9,204.9547339,-39.51867546,215,23,119.755
Dan Bailey,DAL,k,6,143.0691317,7.250647586,83,4,122.7433
Jay Cutler,MIA,qb,11,198.3638969,-46.10951243,229,24,124.836
Panthers,CAR,dst,11,112.3848315,-60.21044722,269,9,127.545
Jason Witten,DAL,te,6,83.27578338,-18.56590058,161,18,129.74
Eli Manning,NYG,qb,8,213.830367,-30.64304232,195,21,130.41
Steelers,PIT,dst,9,103.820022,-68.77525669,303,14,131.67
Eric Ebron,DET,te,7,93.21359736,-8.628086604,131,12,131.92
Falcons,ATL,dst,5,102.9135083,-69.68177038,305,15,136.605
Rams,LAC,dst,8,163.6501204,-8.945158282,133,6,136.7
Carson Palmer,ARI,qb,8,225.7324193,-18.74099009,162,18,139.13
Giants,NYG,dst,8,170.3043911,-2.290887564,113,4,140.8
Jaguars,JAC,dst,8,100.7370822,-71.85819654,311,17,141.325
Ravens,BAL,dst,10,99.54628414,-73.04899457,315,18,142.43
Chargers,LAR,dst,9,96.64726994,-75.94800877,332,22,143.3
Chandler Catanzaro,NYJ,k,11,105.188708,-30.6297761,194,28,143.72
Eagles,PHI,dst,10,106.545397,-66.04988172,291,12,145.73
Harrison Butker,CAR,k,11,5.872354949,-129.9461292,807,39,146.3
Bengals,CIN,dst,6,158.0918584,-14.50342035,150,7,147.8
Titans,TEN,dst,8,96.93153206,-75.66374665,327,20,148.36
Wil Lutz,NO,k,5,134.2069311,-1.611553017,110,11,150.0533
Andrew Franks,FA,k,NA,98.11267754,-37.7058066,208,31,150.72
Dan Carpenter,FA,k,NA,0,-135.8184841,809,40,150.81
Blair Walsh,SEA,k,6,135.2754879,-0.542996216,106,9,154.0467
David Njoku,CLE,te,9,63.46290688,-38.37877708,211,26,156.3667
Zach Miller,CHI,te,9,64.69065475,-37.15102921,206,25,156.7267
Vance McDonald,PIT,te,9,60.24669206,-41.5949919,219,27,157.1067
Austin Seferian-Jenkins,NYJ,te,11,47.20973535,-54.63194861,256,36,157.2667
Ryan Griffin,HOU,te,7,40.80451285,-61.03717111,273,39,157.2733
Erik Swoope,IND,te,11,47.37455344,-54.46713052,254,35,157.28
Nick Boyle,BAL,te,10,38.97601718,-62.86566678,282,40,157.32
Packers,GB,dst,8,97.12105509,-75.47422362,325,19,157.415
Cowboys,DAL,dst,6,94.37740841,-78.2178703,346,24,157.83
Raiders,OAK,dst,10,101.4354963,-71.1597824,309,16,158.02
Buccaneers,TB,dst,11,106.2001593,-66.39511943,292,13,159.43
Dwayne Allen,NE,te,9,52.95999466,-48.8816893,234,29,159.8
49ers,SF,dst,11,85.91670829,-86.67857043,391,28,160.03
Ryan Tannehill,MIA,qb,11,88.18,-156.2934094,819,34,160.145
Colts,IND,dst,11,90.43266878,-82.16260993,364,26,160.26
Greg Zuerlein,LAR,k,9,101.91829,-33.90019416,201,29,160.32
Jason Myers,JAC,k,8,123.3432194,-12.4752647,139,17,160.32
Virgil Green,DEN,te,5,41.72774419,-60.11393977,268,38,160.345
Vernon Davis,WAS,te,5,52.05752021,-49.78416375,241,32,160.355
Benjamin Watson,BAL,te,10,52.7017778,-49.13990616,237,30,160.355
Mike Glennon,CHI,qb,9,140.55167,-103.9217394,575,29,160.38
Connor Barth,CHI,k,9,105.8418862,-29.9765979,192,27,160.4
Cody Parkey,MIA,k,11,84.89006964,-50.9284145,246,33,160.41
Jermaine Gresham,ARI,te,8,58.59669309,-43.24499087,222,28,160.42
Randy Bullock,CIN,k,6,88.77281961,-47.04566454,231,32,160.42
Josh McCown,NYJ,qb,11,114.013675,-130.4597344,808,31,160.455
George Kittle,SF,te,11,48.39248813,-53.44919583,251,34,160.47
Garrett Celek,SF,te,11,43.3977966,-58.44388736,264,37,160.48
Jordan Gay,TEN,k,8,0,-135.8184841,809,40,170
Scott Tolzien,IND,qb,11,20.08549213,-224.3879172,825,40,170
Younghoe Koo,LAC,k,8,25.68019884,-110.1382853,639,37,170
Mitchell Trubisky,CHI,qb,9,33.53068026,-210.9427291,824,39,170
Cody Kessler,CLE,qb,9,40.36751439,-204.105895,823,38,170
Christian Hackenberg,NYJ,qb,11,40.63707348,-203.8363359,822,37,170
Paxton Lynch,DEN,qb,5,43.85876606,-200.6146433,821,36,170
Tyler Higbee,LAR,te,9,52.56839913,-49.27328483,238,31,170
Chad Henne,JAC,qb,8,56.86885727,-187.6045521,820,35,170
Browns,CLE,dst,9,76.16370639,-96.43157232,458,32,170
Jets,NYJ,dst,11,79.18187585,-93.41340286,434,31,170
Bears,CHI,dst,9,80.84820155,-91.74707716,420,30,170
Lions,DET,dst,7,82.32200733,-90.27327138,409,29,170
Saints,NO,dst,5,87.47154957,-85.12372914,382,27,170
Redskins,WAS,dst,5,94.11617185,-78.47910687,349,25,170
Bills,BUF,dst,6,95.20650163,-77.38877708,341,23,170
Dolphins,MIA,dst,11,96.70454537,-75.89073334,331,21,170
Zane Gonzalez,CLE,k,9,99.38487453,-36.43360961,205,30,170
Tom Savage,HOU,qb,7,101.5448292,-142.9285801,818,33,170
Robbie Gould,SF,k,11,108.126482,-27.69200219,188,26,170
Aldrick Rosas,NYG,k,8,109.139119,-26.67936511,184,25,170
Ryan Succop,TEN,k,8,123.1219098,-12.69657434,140,18,170
Jared Goff,LAR,qb,9,138.9889988,-105.4844105,593,30,170
Trevor Siemian,DEN,qb,5,157.6789636,-86.79444577,392,28,170
Brian Hoyer,SF,qb,11,164.8624432,-79.61096618,351,26,170
DeShone Kizer,CLE,qb,9,167.7920559,-76.68135349,339,25,170
Zach Hocker,FA,k,NA,0,-135.8184841,809,40,NA
Travis Coons,FA,k,NA,0,-135.8184841,809,40,NA
Mike Meyer,FA,k,NA,0,-135.8184841,809,40,NA
Nick Rose,SF,k,11,0,-135.8184841,809,40,NA
Marshall Koehn,FA,k,NA,0,-135.8184841,809,40,NA
Ross Martin,NYJ,k,11,0,-135.8184841,809,40,NA
Kaimi Fairbairn,HOU,k,7,23.31644101,-112.5020431,666,38,NA
Mike Nugent,FA,k,NA,38.99711142,-96.82137273,460,36,NA
Roberto Aguayo,FA,k,NA,56.71354167,-79.10494248,350,35,NA
Jake Elliott,FA,k,NA,78.91655905,-56.9019251,260,34,NA
